,T6,,,,,,,,,T8,,,,,,,,
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
Frame,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
99,-35.6295,-57.8697,1719.69,-48.4366,-46.2462,1702.7,-29.2458,-51.4666,1696.84,57.198,180.916,1725.37,61.5013,178.153,1707.26,40.6295,183.648,1713.86
100,-36.92,-60.3115,1719.63,-49.8524,-48.5492,1702.76,-30.6491,-53.7972,1696.81,57.3187,178.893,1725.25,61.7268,176.373,1707.08,40.831,181.668,1713.79
101,-38.3281,-62.667,1719.58,-51.0717,-50.676,1702.8,-32.0088,-56.0154,1696.81,57.3297,176.85,1725.27,62.0048,174.468,1706.82,40.9629,179.665,1713.77
102,-39.7635,-65.0493,1719.55,-52.5403,-52.9214,1702.79,-33.3865,-58.2991,1696.82,57.5483,174.775,1725.14,62.2131,172.452,1706.79,41.4078,177.648,1713.7
103,-41.2372,-67.3991,1719.55,-53.9216,-55.1307,1702.85,-34.852,-60.5978,1696.77,57.8507,172.622,1725.08,62.4929,170.353,1706.75,41.7431,175.521,1713.63
104,-42.8979,-69.7121,1719.47,-55.532,-57.2572,1702.8,-36.4179,-62.7554,1696.73,58.0414,170.321,1725.2,62.5921,168.065,1706.83,41.7455,173.487,1713.54
105,-44.5426,-72.0503,1719.39,-57.1901,-59.5482,1702.94,-38.0405,-64.9723,1696.81,58.2741,167.987,1725.35,62.6278,165.772,1706.97,41.7683,171.07,1713.64
106,-46.2225,-74.2618,1719.42,-58.7214,-61.5524,1702.96,-39.7011,-67.0788,1696.76,58.1893,165.426,1725.61,62.7931,163.401,1707.17,41.9832,168.665,1713.86
107,-48.1233,-76.4775,1719.43,-60.5009,-63.6084,1703.05,-41.5346,-69.2341,1696.82,58.3765,162.925,1725.94,62.865,161.074,1707.4,41.9514,166.147,1714.5
108,-49.9487,-78.7029,1719.49,-62.5992,-66.0346,1703.18,-43.3227,-71.3283,1696.94,58.6212,160.35,1726.11,62.6547,158.47,1707.74,41.8671,163.522,1715.03
109,-51.8905,-80.8878,1719.61,-64.4708,-68.0228,1703.44,-45.318,-73.4356,1697.11,58.2304,157.651,1726.63,62.6865,155.946,1708.09,41.8364,161.069,1715.42
110,-56.2739,-85.5178,1720.22,-68.8092,-72.1856,1704.06,-49.4033,-77.5771,1697.5,58.1985,155.064,1727.11,62.6236,153.249,1708.64,42.0488,158.708,1715.65
111,-58.4423,-87.6359,1720.62,-70.8402,-74.1037,1704.48,-51.5036,-79.5474,1697.76,58.3956,152.371,1727.57,62.4464,150.552,1709.27,41.7694,155.993,1716.43
112,-60.6572,-89.7545,1720.85,-72.7225,-75.3241,1704.73,-53.7031,-81.5435,1698.03,57.9472,149.511,1728.42,62.3967,147.922,1709.87,41.7116,153.323,1717.12
113,-62.6959,-91.3155,1721.02,-75.1711,-77.5368,1704.95,-55.9069,-83.5669,1698.44,58.0088,146.755,1728.94,62.0893,145.199,1710.57,41.601,150.615,1717.75
114,-65.1015,-93.6059,1721.36,-77.0475,-79.4342,1705.48,-58.066,-85.4342,1698.77,57.7039,143.889,1729.77,61.8876,142.402,1711.14,41.0842,147.837,1718.47
115,-67.3174,-95.5729,1721.54,-79.0882,-81.3852,1705.84,-60.6304,-87.7222,1699.05,57.3138,141.012,1730.54,61.6492,139.865,1711.96,40.9596,145.11,1719.38
